date,year,quarter_of_year,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_of_year,is_weekday
2018-08-07,2018,3,8,August,7,1,Tuesday,32,True
2018-08-08,2018,3,8,August,8,2,Wednesday,32,True
2018-08-09,2018,3,8,August,9,3,Thursday,32,True
2018-08-10,2018,3,8,August,10,4,Friday,32,True
2018-08-11,2018,3,8,August,11,5,Saturday,32,False
2018-08-12,2018,3,8,August,12,6,Sunday,32,False
2018-08-13,2018,3,8,August,13,0,Monday,33,True
2018-08-14,2018,3,8,August,14,1,Tuesday,33,True
2018-08-15,2018,3,8,August,15,2,Wednesday,33,True
2018-08-16,2018,3,8,August,16,3,Thursday,33,True
2018-08-17,2018,3,8,August,17,4,Friday,33,True
2018-08-18,2018,3,8,August,18,5,Saturday,33,False
2018-08-19,2018,3,8,August,19,6,Sunday,33,False
2018-08-20,2018,3,8,August,20,0,Monday,34,True
2018-08-21,2018,3,8,August,21,1,Tuesday,34,True
2018-08-22,2018,3,8,August,22,2,Wednesday,34,True
2018-08-23,2018,3,8,August,23,3,Thursday,34,True
2018-08-24,2018,3,8,August,24,4,Friday,34,True
2018-08-25,2018,3,8,August,25,5,Saturday,34,False
2018-08-26,2018,3,8,August,26,6,Sunday,34,False
2018-08-27,2018,3,8,August,27,0,Monday,35,True
2018-08-28,2018,3,8,August,28,1,Tuesday,35,True
2018-08-29,2018,3,8,August,29,2,Wednesday,35,True
2018-08-30,2018,3,8,August,30,3,Thursday,35,True
2018-08-31,2018,3,8,August,31,4,Friday,35,True
2018-09-01,2018,3,9,September,1,5,Saturday,35,False
2018-09-02,2018,3,9,September,2,6,Sunday,35,False
2018-09-03,2018,3,9,September,3,0,Monday,36,True
2018-09-04,2018,3,9,September,4,1,Tuesday,36,True
2018-09-05,2018,3,9,September,5,2,Wednesday,36,True
2018-09-06,2018,3,9,September,6,3,Thursday,36,True
2018-09-07,2018,3,9,September,7,4,Friday,36,True
2018-09-08,2018,3,9,September,8,5,Saturday,36,False
2018-09-09,2018,3,9,September,9,6,Sunday,36,False
2018-09-10,2018,3,9,September,10,0,Monday,37,True
